zip_code,offense_nibrs,incident_number,offense_description,incident_reported,zone,latitude,longitude,incident_occurred,primary_key,geometry,index_right,precinct
37013,40A,20180072995,PROSTITUTION,2018-01-28T13:50:00,333,36.044,-86.65,2018-01-28T13:40:00,20180072995_11,POINT (-86.65000000000001 36.044),6,SOUTH
37210,40A,20180221063,PROSTITUTION,2018-03-09T10:00:00,311,36.142,-86.758,2018-03-09T10:00:00,20180221063_11,POINT (-86.758 36.142),6,SOUTH
37210,40A,20180062936,PROSTITUTION,2018-01-19T20:52:00,311,36.147,-86.759,2018-01-19T20:52:00,20180062936_11,POINT (-86.759 36.147),6,SOUTH
37013,40A,20180072993,PROSTITUTION,2018-01-23T15:30:00,333,36.044,-86.65,2018-01-23T15:10:00,20180072993_11,POINT (-86.65000000000001 36.044),6,SOUTH
37211,40A,20180375448,PROSTITUTION,2018-04-27T13:40:00,321,36.085,-86.703,2018-04-27T11:00:00,20180375448_11,POINT (-86.703 36.085),6,SOUTH
37210,40A,20180711628,PROSTITUTION,2018-08-19T22:15:00,511,36.148,-86.76,2018-08-19T19:00:00,20180711628_11,POINT (-86.76000000000001 36.148),6,SOUTH
37210,40A,20180428656,PROSTITUTION,2018-05-15T12:30:00,311,36.147,-86.761,2018-05-15T09:45:00,20180428656_11,POINT (-86.761 36.147),6,SOUTH
37211,40A,20180325559,PROSTITUTION,2018-04-11T17:21:00,321,36.084,-86.702,2018-04-11T14:13:00,20180325559_11,POINT (-86.702 36.084),6,SOUTH
37013,40A,20180839647,PROSTITUTION,2018-10-08T13:57:00,331,36.043,-86.689,2018-10-03T15:08:00,20180839647_11,POINT (-86.68899999999999 36.043),6,SOUTH
37217,40A,20180516981,PROSTITUTION,2018-06-21T16:00:00,531,36.129,-86.715,2018-06-14T13:30:00,20180516981_11,POINT (-86.715 36.129),6,SOUTH
37217,40A,20180973161,PROSTITUTION,2018-11-20T16:00:00,531,36.131,-86.717,2018-11-20T15:40:00,20180973161_11,POINT (-86.717 36.131),6,SOUTH
37210,40A,20180907186,PROSTITUTION,2018-10-28T20:30:00,311,36.148,-86.761,2018-10-28T20:30:00,20180907186_11,POINT (-86.761 36.148),6,SOUTH
37217,40A,20180118342,PROSTITUTION,2018-02-08T18:50:00,315,36.134,-86.723,2018-02-05T14:39:00,20180118342_11,POINT (-86.723 36.134),6,SOUTH
37211,40A,20180287801,PROSTITUTION,2018-03-30T13:00:00,323,36.086,-86.698,2018-03-30T12:45:00,20180287801_11,POINT (-86.69799999999999 36.086),6,SOUTH
37211,40A,20180969979,PROSTITUTION,2018-11-19T16:15:00,321,36.084,-86.704,2018-11-19T16:15:00,20180969979_11,POINT (-86.70399999999999 36.084),6,SOUTH
37210,40A,20180868113,PROSTITUTION,2018-10-14T21:00:00,311,36.147,-86.758,2018-10-14T20:45:00,20180868113_11,POINT (-86.758 36.147),6,SOUTH
37210,40A,20180224572,PROSTITUTION,2018-03-10T14:01:00,311,36.142,-86.758,2018-03-10T13:17:00,20180224572_31,POINT (-86.758 36.142),6,SOUTH
37210,40A,20180826248,PROSTITUTION,2018-09-28T13:58:00,311,36.147,-86.761,2018-09-28T10:30:00,20180826248_11,POINT (-86.761 36.147),6,SOUTH
37210,40A,20180691442,PROSTITUTION,2018-08-12T19:10:00,311,36.146,-86.754,2018-08-12T19:10:00,20180691442_11,POINT (-86.754 36.146),6,SOUTH
37210,40A,20180101537,PROSTITUTION,2018-01-31T12:30:00,311,36.147,-86.758,2018-01-31T12:15:00,20180101537_11,POINT (-86.758 36.147),6,SOUTH
37211,40A,20180487234,PROSTITUTION,2018-06-12T18:30:00,321,36.085,-86.703,2018-06-04T16:30:00,20180487234_11,POINT (-86.703 36.085),6,SOUTH
,40A,20180973414,MASSAGE OF EROGENOUS AREAS,2018-11-20T18:11:00,,36.03,-86.71,2018-11-20T12:37:00,20180973414_11,POINT (-86.70999999999999 36.03),6,SOUTH
37210,40A,20180395697,PROSTITUTION,2018-05-04T09:20:00,511,36.148,-86.761,2018-05-04T09:20:00,20180395697_11,POINT (-86.761 36.148),6,SOUTH
37211,40A,20180457106,PROSTITUTION,2018-06-12T18:10:00,323,36.069,-86.689,2018-06-04T15:30:00,20180457106_11,POINT (-86.68899999999999 36.069),6,SOUTH
37217,40A,20180932556,PROSTITUTION,2018-11-06T15:30:00,531,36.134,-86.723,2018-11-06T15:30:00,20180932556_11,POINT (-86.723 36.134),6,SOUTH
37210,40A,20180404613,PROSTITUTION,2018-05-07T17:15:00,311,36.148,-86.761,2018-05-07T16:45:00,20180404613_11,POINT (-86.761 36.148),6,SOUTH
37210,40A,20180109091,PROSTITUTION,2018-02-02T08:30:00,311,36.142,-86.759,2018-02-02T08:30:00,20180109091_11,POINT (-86.759 36.142),6,SOUTH
37211,40A,20180740933,PROSTITUTION,2018-08-29T15:00:00,321,36.082,-86.702,2018-08-29T14:30:00,20180740933_11,POINT (-86.702 36.082),6,SOUTH
37210,40A,20181072881,PROSTITUTION,2018-12-30T22:40:00,311,36.146,-86.758,2018-12-30T20:00:00,20181072881_11,POINT (-86.758 36.146),6,SOUTH
37203,40A,20181003913,PROSTITUTION,2018-12-02T22:00:00,821,36.14,-86.77,2018-12-02T12:37:00,20181003913_11,POINT (-86.77 36.14),4,MIDTOWN-HILLS
37203,40A,20180019288,PROSTITUTION,2018-01-06T19:00:00,815,36.141,-86.817,2018-01-06T19:00:00,20180019288_11,POINT (-86.81699999999999 36.141),4,MIDTOWN-HILLS
37204,40A,20180642901,PROSTITUTION,2018-07-26T17:30:00,825,36.085,-86.762,2018-07-26T17:08:00,20180642901_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37204,40A,20180643622,PROSTITUTION,2018-07-26T18:00:00,825,36.085,-86.762,2018-07-26T17:45:00,20180643622_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37204,40A,20180639459,PROSTITUTION,2018-07-25T18:50:00,825,36.085,-86.762,2018-07-25T18:50:00,20180639459_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37204,40A,20180639462,PROSTITUTION,2018-07-26T11:50:00,825,36.085,-86.762,2018-07-26T11:35:00,20180639462_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37204,40A,20180639461,PROSTITUTION,2018-07-23T19:23:00,825,36.085,-86.762,2018-07-23T19:23:00,20180639461_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37204,40A,20180563843,PROSTITUTION,2018-06-29T17:30:00,825,36.087,-86.762,2018-06-29T17:00:00,20180563843_11,POINT (-86.762 36.087),4,MIDTOWN-HILLS
37204,40A,20180133006,PROSTITUTION,2018-02-09T22:30:00,825,36.085,-86.762,2018-02-09T17:25:00,20180133006_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37211,40A,20180797162,PROSTITUTION,2018-09-18T15:00:00,321,36.039,-86.731,2018-09-18T14:30:00,20180797162_11,POINT (-86.73099999999999 36.039),4,MIDTOWN-HILLS
37203,40A,20180727941,PROSTITUTION,2018-08-25T00:05:00,813,36.156,-86.796,2018-08-24T21:45:00,20180727941_11,POINT (-86.79600000000001 36.156),4,MIDTOWN-HILLS
37204,40A,20180642900,PROSTITUTION,2018-07-26T17:00:00,825,36.085,-86.762,2018-07-26T17:00:00,20180642900_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37210,40A,20180973077,PROSTITUTION,2018-11-20T15:00:00,311,36.104,-86.809,2018-11-20T15:00:00,20180973077_11,POINT (-86.809 36.104),4,MIDTOWN-HILLS
37204,40A,20180642897,PROSTITUTION,2018-07-26T16:33:00,825,36.085,-86.762,2018-07-26T16:33:00,20180642897_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37204,40A,20180639469,PROSTITUTION,2018-07-26T15:39:00,825,36.085,-86.762,2018-07-26T15:20:00,20180639469_11,POINT (-86.762 36.085),4,MIDTOWN-HILLS
37203,40A,20180797298,PROSTITUTION,2018-09-18T16:20:00,821,36.138,-86.77,2018-09-18T16:20:00,20180797298_11,POINT (-86.77 36.138),4,MIDTOWN-HILLS
37207,40A,20180612308,PROSTITUTION,2018-07-16T13:05:00,621,36.208,-86.778,2018-07-16T13:05:00,20180612308_11,POINT (-86.77800000000001 36.208),5,NORTH
37207,40A,20180306512,PROSTITUTION,2018-04-17T17:02:00,621,36.204,-86.777,2018-04-17T16:30:00,20180306512_11,POINT (-86.777 36.204),5,NORTH
37207,40A,20180612405,PROSTITUTION,2018-07-16T13:30:00,621,36.209,-86.778,2018-07-16T13:30:00,20180612405_11,POINT (-86.77800000000001 36.209),5,NORTH
37207,40A,20180761936,PROSTITUTION,2018-09-05T22:10:00,621,36.204,-86.777,2018-09-05T21:45:00,20180761936_11,POINT (-86.777 36.204),5,NORTH
37207,40A,20180619342,PROSTITUTION,2018-07-18T17:20:00,621,36.204,-86.777,2018-07-18T17:20:00,20180619342_11,POINT (-86.777 36.204),5,NORTH
37207,40A,20180836285,PROSTITUTION,2018-10-02T14:45:00,621,36.203,-86.777,2018-10-02T13:40:00,20180836285_11,POINT (-86.777 36.203),5,NORTH
37210,40A,20180778490,PROSTITUTION,2018-09-11T21:30:00,311,36.174,-86.789,2018-09-11T20:00:00,20180778490_11,POINT (-86.789 36.174),5,NORTH
37207,40A,20180414527,PROSTITUTION,2018-05-10T16:00:00,621,36.207,-86.778,2018-05-10T13:00:00,20180414527_11,POINT (-86.77800000000001 36.207),5,NORTH
37207,40A,20180636441,PROSTITUTION,2018-07-24T18:30:00,621,36.204,-86.777,2018-07-24T15:00:00,20180636441_11,POINT (-86.777 36.204),5,NORTH
37207,40A,20180914538,PROSTITUTION,2018-10-31T07:08:00,621,36.217,-86.782,2018-10-31T05:20:00,20180914538_11,POINT (-86.782 36.217),5,NORTH
37208,40A,20180761236,PROSTITUTION,2018-09-05T18:10:00,613,36.172,-86.803,2018-09-05T17:00:00,20180761236_11,POINT (-86.803 36.172),5,NORTH
37207,40A,20180549645,PROSTITUTION,2018-06-25T16:15:00,621,36.207,-86.779,2018-06-25T15:45:00,20180549645_11,POINT (-86.779 36.207),5,NORTH
37207,40A,20180643248,PROSTITUTION,2018-07-26T15:15:00,621,36.209,-86.778,2018-07-26T15:15:00,20180643248_11,POINT (-86.77800000000001 36.209),5,NORTH
37207,40A,20180804579,PROSTITUTION,2018-09-20T19:21:00,621,36.207,-86.783,2018-09-20T19:21:00,20180804579_11,POINT (-86.783 36.207),5,NORTH
37207,40A,20180776424,PROSTITUTION,2019-08-07T12:05:00,621,36.206,-86.778,2018-09-11T05:30:00,20180776424_11,POINT (-86.77800000000001 36.206),5,NORTH
37208,40A,20180368725,PROSTITUTION,2018-04-25T15:07:00,613,36.177,-86.817,2018-04-25T11:50:00,20180368725_11,POINT (-86.81699999999999 36.177),5,NORTH
37207,40A,20180552907,PROSTITUTION,2018-06-26T16:50:00,621,36.204,-86.777,2018-06-26T15:00:00,20180552907_11,POINT (-86.777 36.204),5,NORTH
37207,40A,20180781048,PROSTITUTION,2019-08-07T12:10:00,621,36.212,-86.788,2018-09-12T16:55:00,20180781048_11,POINT (-86.788 36.212),5,NORTH
37207,40A,20180581523,PROSTITUTION,2018-07-05T17:00:00,621,36.212,-86.779,2018-07-05T17:00:00,20180581523_11,POINT (-86.779 36.212),5,NORTH
37207,40A,20180703789,PROSTITUTION,2018-08-16T19:48:00,621,36.206,-86.778,2018-08-16T16:32:00,20180703789_21,POINT (-86.77800000000001 36.206),5,NORTH
37207,40A,20180703759,PROSTITUTION,2018-08-16T18:40:00,621,36.207,-86.778,2018-08-16T16:10:00,20180703759_11,POINT (-86.77800000000001 36.207),5,NORTH
37207,40A,20180602468,PROSTITUTION,2018-07-12T17:30:00,621,36.204,-86.777,2018-07-12T17:30:00,20180602468_11,POINT (-86.777 36.204),5,NORTH
37208,40A,20181025528,PROSTITUTION,2018-12-11T03:10:00,615,36.169,-86.807,2018-12-11T02:00:00,20181025528_22,POINT (-86.807 36.169),5,NORTH
37207,40A,20181065559,PROSTITUTION,2018-12-27T16:12:00,621,36.209,-86.778,2018-12-27T11:45:00,20181065559_21,POINT (-86.77800000000001 36.209),5,NORTH
37207,40A,20180703726,PROSTITUTION,2018-08-16T19:54:00,621,36.207,-86.784,2018-08-16T19:54:00,20180703726_11,POINT (-86.78400000000001 36.207),5,NORTH
37207,40A,20180619442,PROSTITUTION,2018-07-18T20:09:00,621,36.209,-86.779,2018-07-18T18:15:00,20180619442_11,POINT (-86.779 36.209),5,NORTH
37207,40A,20180295690,PROSTITUTION,2018-03-22T18:30:00,621,36.207,-86.778,2018-03-22T16:00:00,20180295690_11,POINT (-86.77800000000001 36.207),5,NORTH
37207,40A,20180403929,PROSTITUTION,2018-05-07T16:00:00,621,36.206,-86.778,2018-05-07T12:00:00,20180403929_11,POINT (-86.77800000000001 36.206),5,NORTH
37207,40A,20180559746,PROSTITUTION,2018-06-28T13:10:00,621,36.209,-86.778,2018-06-28T13:10:00,20180559746_21,POINT (-86.77800000000001 36.209),5,NORTH
37207,40A,20180929407,PROSTITUTION,2018-10-05T14:30:00,621,36.207,-86.778,2018-10-05T14:30:00,20180929407_11,POINT (-86.77800000000001 36.207),5,NORTH
37207,40A,20180774659,PROSTITUTION,2018-09-11T04:14:00,621,36.2,-86.788,2018-09-10T14:30:00,20180774659_11,POINT (-86.788 36.2),5,NORTH
37207,40A,20180472088,PROSTITUTION,2018-05-30T17:32:00,621,36.207,-86.779,2018-05-30T13:00:00,20180472088_11,POINT (-86.779 36.207),5,NORTH
37207,40A,20180619448,PROSTITUTION,2018-07-18T18:00:00,621,36.207,-86.784,2018-07-18T18:00:00,20180619448_11,POINT (-86.78400000000001 36.207),5,NORTH
37207,40A,20180878964,PROSTITUTION,2018-10-18T16:12:00,621,36.204,-86.777,2018-10-18T14:00:00,20180878964_11,POINT (-86.777 36.204),5,NORTH
37207,40A,20180757616,PROSTITUTION,2018-09-04T18:00:00,621,36.202,-86.777,2018-09-04T14:00:00,20180757616_11,POINT (-86.777 36.202),5,NORTH
37218,40A,20180852407,PROSTITUTION,2018-10-08T19:00:00,623,36.206,-86.812,2018-10-08T18:00:00,20180852407_11,POINT (-86.812 36.206),5,NORTH
37207,40A,20180697173,PROSTITUTION,2018-08-14T16:00:00,621,36.207,-86.778,2018-08-14T16:00:00,20180697173_11,POINT (-86.77800000000001 36.207),5,NORTH
37207,40A,20180700109,PROSTITUTION,2018-08-15T13:15:00,621,36.204,-86.777,2018-08-15T13:15:00,20180700109_11,POINT (-86.777 36.204),5,NORTH
37208,40A,20180895590,PROSTITUTION,2018-10-24T12:45:00,613,36.173,-86.81,2018-10-24T12:30:00,20180895590_11,POINT (-86.81 36.173),5,NORTH
37208,40A,20190062511,PROSTITUTION,2019-02-14T08:45:00,613,36.179,-86.802,2018-01-24T11:40:00,20190062511_11,POINT (-86.80200000000001 36.179),5,NORTH
37207,40A,20180510976,PROSTITUTION,2018-06-12T19:30:00,621,36.204,-86.777,2018-06-12T16:50:00,20180510976_31,POINT (-86.777 36.204),5,NORTH
37207,40A,20180660156,PROSTITUTION,2018-08-01T14:36:00,621,36.207,-86.778,2018-08-01T14:36:00,20180660156_11,POINT (-86.77800000000001 36.207),5,NORTH
37207,40A,20180805834,PROSTITUTION,2018-09-21T07:00:00,621,36.206,-86.778,2018-09-21T06:07:00,20180805834_11,POINT (-86.77800000000001 36.206),5,NORTH
37208,40A,20180969737,PROSTITUTION,2018-11-19T15:03:00,613,36.179,-86.802,2018-11-19T14:45:00,20180969737_11,POINT (-86.80200000000001 36.179),5,NORTH
37207,40A,20180774828,PROSTITUTION,2018-09-10T16:17:00,621,36.192,-86.782,2018-09-10T15:30:00,20180774828_11,POINT (-86.782 36.192),5,NORTH
37207,40A,20180147581,PROSTITUTION,2018-02-14T13:00:00,621,36.206,-86.778,2018-02-14T13:00:00,20180147581_21,POINT (-86.77800000000001 36.206),5,NORTH
37207,40A,20180757621,PROSTITUTION,2018-09-04T14:30:00,621,36.21,-86.779,2018-09-04T14:30:00,20180757621_11,POINT (-86.779 36.21),5,NORTH
37207,40A,20181030391,PROSTITUTION,2018-12-12T20:07:00,621,36.207,-86.784,2018-12-12T17:57:00,20181030391_11,POINT (-86.78400000000001 36.207),5,NORTH
37207,40A,20181065689,PROSTITUTION,2018-12-27T13:10:00,621,36.208,-86.778,2018-12-27T13:00:00,20181065689_11,POINT (-86.77800000000001 36.208),5,NORTH
37207,40A,20180140947,PROSTITUTION,2018-02-12T19:45:00,621,36.207,-86.778,2018-02-12T17:30:00,20180140947_11,POINT (-86.77800000000001 36.207),5,NORTH
37208,40A,20180794122,PROSTITUTION,2018-09-17T15:00:00,613,36.173,-86.808,2018-09-17T14:45:00,20180794122_11,POINT (-86.80800000000001 36.173),5,NORTH
37207,40A,20180252949,PROSTITUTION,2018-03-19T17:03:00,621,36.208,-86.778,2018-03-19T15:30:00,20180252949_11,POINT (-86.77800000000001 36.208),5,NORTH
37208,40A,20180958462,"PROSTITUTION, COMMITTING",2018-11-18T10:57:00,613,36.173,-86.808,2018-11-18T10:57:00,20180958462_11,POINT (-86.80800000000001 36.173),5,NORTH
37207,40A,20180797815,PROSTITUTION,2018-09-18T19:00:00,621,36.207,-86.778,2018-09-18T18:50:00,20180797815_11,POINT (-86.77800000000001 36.207),5,NORTH
37208,40A,20181023807,PROSTITUTION,2018-12-10T12:15:00,615,36.17,-86.803,2018-12-10T12:15:00,20181023807_11,POINT (-86.803 36.17),5,NORTH
37207,40A,20180534641,PROSTITUTION,2018-06-20T16:00:00,623,36.21,-86.812,2018-06-20T16:00:00,20180534641_11,POINT (-86.812 36.21),5,NORTH
37207,40A,20180780995,PROSTITUTION,2019-08-07T12:00:00,621,36.209,-86.778,2018-09-12T16:30:00,20180780995_11,POINT (-86.77800000000001 36.209),5,NORTH
37208,40A,20180761249,PROSTITUTION,2018-09-05T17:15:00,613,36.179,-86.802,2018-09-05T17:15:00,20180761249_11,POINT (-86.80200000000001 36.179),5,NORTH
37115,40A,20180372686,PROSTITUTION,2018-04-26T15:00:00,711,36.26,-86.716,2018-04-26T15:00:00,20180372686_21,POINT (-86.71599999999999 36.26),3,MADISON
37115,40A,20181047856,PROSTITUTION,2018-12-19T17:00:00,711,36.244,-86.718,2018-12-19T17:00:00,20181047856_11,POINT (-86.718 36.244),3,MADISON
37115,40A,20180302669,PROSTITUTION,2018-04-04T13:40:00,711,36.251,-86.717,2018-04-04T13:30:00,20180302669_11,POINT (-86.717 36.251),3,MADISON
37115,40A,20180784032,PROSTITUTION,2018-09-13T18:00:00,723,36.269,-86.711,2018-09-13T15:50:00,20180784032_11,POINT (-86.711 36.269),3,MADISON
37115,40A,20180186310,PROSTITUTION,2018-02-26T18:00:00,727,36.293,-86.695,2018-02-26T17:45:00,20180186310_11,POINT (-86.69499999999999 36.293),3,MADISON
